branch_id,branch_name,region
3801,چهارراه مخابرات بجنورد,شرق ایران
2421,میدان پانزده خرداد تاکستان,شمال
1004,آبرسان تبریز,شمال غرب
2802,شریعتی کرمانشاه,جنوب غرب
2302,خیابان مدرس لار,جنوب
3021,گنبد کاووس,شمال
1921,آبادان,جنوب غرب
1361,گلپایگان,مرکز ایران
2901,خیابان آبان یاسوج,جنوب
3361,چالوس,شمال
3521,گلشهر بندرعباس,جنوب
2101,خیابان امام سمنان,شرق ایران
3221,بروجرد,جنوب غرب
1502,بازار بوشهر,جنوب غرب
2341,خیابان امام کازرون,جنوب
1321,کاشان,مرکز ایران
1041,خیابان امام بناب,شمال غرب
120,الهیه,تهران مرکز
2121,بیست و دوم بهمن شاهرود,شرق ایران
1841,خیابان مطهری قوچان,شرق ایران
1951,بهبهان,جنوب غرب
1121,میدان ولیعصر خوی,شمال غرب
2641,بانه,شمال غرب
1391,خمینی شهر اصفهان,مرکز ایران
4021,بازار سما عسلویه,جنوب غرب
2741,خیابان تختی جیرفت,شرق ایران
1521,خیابان امام حسین برازجان,جنوب غرب
2371,خیابان بسیج لامرد,جنوب
1931,دزفول,جنوب غرب
1331,مطهری شهرضا,مرکز ایران
1904,بندر ماهشهر,جنوب غرب
2621,مریوان,شمال غرب
