period,branch_id,final_score,rank,grade,excellent_group
1404-04,2021,291.5,175,Grade 3,
1404-04,2703,290.8,176,Grade 3,
1404-04,1002,289.1,177,Grade 3,
1404-04,3031,281.0,178,Grade 3,
1404-04,2404,278.3,179,Grade 3,
1404-04,3402,277.2,180,Grade 3,
1404-04,1501,275.4,181,Grade 3,
1404-04,1531,273.0,182,Grade 3,
1404-04,1821,270.8,183,Grade 3,
1404-04,160,270.2,184,Grade 3,
1404-04,2631,267.2,185,Grade 3,
1404-04,1807,264.5,186,Grade 3,
1404-04,1310,263.5,187,Grade 3,
1404-04,1371,260.7,188,Grade 3,
1404-04,1031,260.4,189,Grade 3,
1404-04,3141,260.1,190,Grade 3,
1404-04,2731,257.3,191,Grade 3,
1404-04,3801,257.1,192,Grade 3,
1404-04,2421,256.5,193,Grade 3,
1404-04,1004,255.2,194,Grade 3,
1404-04,2802,253.9,195,Grade 3,
1404-04,2302,252.9,196,Grade 3,
1404-04,3021,250.2,197,Grade 3,
1404-04,1921,239.8,198,Grade 3,
1404-04,1361,237.5,199,Grade 3,
1404-04,2901,233.7,200,Grade 3,
1404-04,3361,232.8,201,Grade 3,
1404-04,3521,232.1,202,Grade 3,
1404-04,2101,231.8,203,Grade 3,
1404-04,3221,231.3,204,Grade 3,
1404-04,1502,230.7,205,Grade 3,
1404-04,2341,230.7,206,Grade 3,
1404-04,1321,229.7,207,Grade 3,
1404-04,1041,228.0,208,Grade 3,
1404-04,120,223.9,209,Grade 3,
1404-04,2121,223.9,210,Grade 3,
1404-04,1841,223.2,211,Grade 3,
1404-04,1951,218.0,212,Grade 3,
1404-04,1121,206.8,213,Grade 3,
1404-04,2641,201.6,214,Grade 3,
1404-04,1391,199.5,215,Grade 3,
1404-04,4021,197.9,216,Grade 3,
1404-04,2741,196.1,217,Grade 3,
1404-04,1521,188.6,218,Grade 3,
1404-04,2371,181.7,219,Grade 3,
1404-04,1931,180.9,220,Grade 3,
1404-04,1331,169.8,221,Grade 3,
1404-04,1904,167.9,222,Grade 3,
1404-04,2621,152.6,223,Grade 3,
